GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Methanocaldococcus	villosus		61:1239*	sp. nov. (VP)	Bellack et al. 2011		1	"KIN24-T80, DSM 22612, JCM 16315"	789276	
Methanocaldococcus	vulcanius		52:685	comb. nov. (VL)	(Jeanthon et al. 1999) Whitman 2002		1	"DSM 12094, M7, ATCC 700851"	777839	
Methanocaldococcus			52:685	gen. nov. (VL)	Whitman 2002				516048	
Methanocella	arvoryzae		60:2918*	sp. nov. (VP)	Sakai et al. 2010		1	"MRE50, DSM 22066, NBRC 105507"	788945	
Methanocella	conradii		62:1443	sp. nov. (VL)	Lü and Lu 2012		1	"HZ254, JCM 17849, DSM 24694, CGMCC 1.5162"	789843	
Methanocella	paludicola		58:929*	sp. nov. (VP)	Sakai et al. 2008		1	"SANAE, DSM 17711, JCM 13418, NBRC 101707"	787296	
Methanocella			58:929*	gen. nov. (VP)	Sakai et al. 2008				517778	
Methanococcoides	alaskense		55:2531*	sp. nov. (VP)	Singh et al. 2005		1	"AK-5, DSM 17273, OCM 775"	777840	
Methanococcoides	burtonii		43:398	sp. nov. (VL)	Franzmann et al. 1993		1	"DSM 6242, OCM 468"	777841	
Methanococcoides	methylutens		35:223	sp. nov. (VL)	Sowers and Ferry 1985		1	"ATCC 33938, DSM 2657, TMA-10, OCM 158"	777843	
Methanococcoides	vulcani		64:1978*	sp. nov. (VP)	L'Haridon et al. 2014		1	"SLH33, DSM 26966, JCM 19278"	791888	
Methanococcoides			35:223	gen. nov. (VL)	Sowers and Ferry 1985 emend. L'Haridon et al. 2014	[DSMZ] emended description: IJSEM 64:1982*			517067	
Methanococcus	aeolicus		56:1525*	sp. nov. (VP)	Kendall et al. 2006		1	"DSM 17508, Nankai-3, OCM 812"	777845	
Methanococcus	deltae		38:220	"sp. nov. (VL), heterotypic syn."	Corder et al. 1988	[DSMZ] synonymy: IJSB 46:734*	1	"ATCC 35294, Delta RC, DSM 2771, RC, ?RC, ?RC"	777846	777853
Methanococcus	fervens		49:583*	sp. nov. (VP)	Jeanthon et al. 1999		1	"AG86, DSM 4213, JCM 15782"	777847	777835
Methanococcus	frisius		36:573	"sp. nov. (VL), heterotypic syn."	Blotevogel et al. 1986		1	"ATCC 43340, C 16, DSM 3318, C16"	777848	777932
Methanococcus	halophilus		34:270	sp. nov. (VL)	Zhilina 1984		1	"DSM 3094, INMI Z-7982, OCM 160, Z-7982"	777849	777896
Methanococcus	igneus		40:470	sp. nov. (VL)	Burggraf et al. 1990		1	"DSM 5666, Kol5, JCM 11834, Kol 5"	777850	777959
Methanococcus	infernus		48:913*	sp. nov. (VP)	Jeanthon et al. 1998		1	"DSM 11812, ME, JCM 15783"	777851	777837
Methanococcus	jannaschii		34:503	sp. nov. (VL)	Jones et al. 1984		1	"DSM 2661, JAL-1, ATCC 43067, CIP 104961, JCM 10045, NBRC 100440, OCM 168"	777852	777838
Methanococcus	maripaludis		34:270	sp. nov. (VL)	Jones et al. 1984		1	"DSM 2067, JJ, ATCC 43000, JCM 10722, NBRC 101831, OCM 175"	777853	
Methanococcus	mazei		30:225	species (AL)	Barker 1936		1	"DSM 2053, S-6, DSM 3318, not cultivated, OCM 26, VKM B-1636"	777854	777932
Methanococcus	thermolithotrophicus		34:270	sp. nov. (VL)	Huber et al. 1984	"[DSMZ] complete authorship reads Huber, Thomm and Stetter // [DSMZ] complete authorship reads: Huber, Thomm and Stetter 1984 <I>in</I> Huber, Thomm, König, Thies and Stetter 1982"	1	"DSM 2095, ATCC 35097, JCM 10549, OCM 138, SN-1"	777856	777950
Methanococcus	vannielii		30:225	species (AL)	Stadtman and Barker 1951		1	"ATCC 35089, DSM 1224, JCM 13029, OCM 148, SB"	777857	
Methanococcus	voltae		31:215	sp. nov. (VL)	Balch and Wolfe 1981 emend. Ward et al. 1989		1	"ATCC 33273, DSM 1537, PS, NBRC 100457, OCM 70, strain PS"	777858	
Methanococcus	vulcanius		49:583*	sp. nov. (VP)	Jeanthon et al. 1999		1	"DSM 12094, M7, ATCC 700851"	777860	777839
Methanococcus			30:225	genus (AL)	Kluyver and van Niel 1936 emend. Barker 1936 emend. Mah and Kuhn 1984				517068	
Methanocorpusculum	aggregans		39:109*	comb. nov. (VP)	(Ollivier et al. 1985) Xun et al. 1989		1	"DSM 3027, MSt, OGC 21"	777861	
Methanocorpusculum	bavaricum		39:371	sp. nov. (VL)	Zellner et al. 1989		1	"DSM 4110, DSM 4179, SZSXXZ, OCM 127, Strain SZSXXZ"	777862	
Methanocorpusculum	labreanum		39:10*	sp. nov. (VP)	Zhao et al. 1989		1	"DSM 4855, OGC 1, Z, OCM 1"	777863	
Methanocorpusculum	parvum		38:136	"sp. nov. (VL), heterotypic syn."	Zellner et al. 1988	[IJSEM] Type designated by author(s).	1	"ATCC 43721, DSM 3823, XII, OCM 63"	777864	777861
Methanocorpusculum	sinense		39:371	sp. nov. (VL)	Zellner et al. 1989		1	"China Z, DSM 4274, OCM 128, Strain China Z"	777865	
Methanocorpusculum			38:136	gen. nov. (VL)	Zellner et al. 1988 emend. Xun et al. 1989	[IJSEM] Type designated by author(s).			517069	
Methanoculleus	bourgensis		53:1551*	comb. nov. (VP)	(Ollivier et al. 1986) Maestrojuán et al. 1990 emend. Asakawa and Nagaoka 2003	[DSMZ] nom. corrig.: IJSB 48:1073*; <I>Methanoculleus bourgense</I> (sic)	1	"DSM 3045, MS2, OGC 15, ATCC 43281, strain MS2"	777866	
Methanoculleus	chikugoensis		51:1663*	sp. nov. (VP)	Dianou et al. 2001		1	"DSM 13459, JCM 10825, MG62, NBRC 101202"	777867	
Methanoculleus	horonobensis		63:4320*	sp. nov. (VP)	Shimizu et al. 2013		1	"T10, DSM 21626, JCM 15517"	791244	
Methanoculleus	hydrogenitrophicus		60:2165*	sp. nov. (VP)	Tian et al. 2010		1	"HC, CGMCC 1.5146, JCM 16311, DSM 25996"	788724	
Methanoculleus	marisnigri		40:117*	comb. nov. (VP)	(Romesser et al. 1981) Maestrojuán et al. 1990		1	"ATCC 35101, DSM 1498, JR 1, OGC 56, JR1, OCM 56"	777869	
Methanoculleus	oldenburgensis		48:327	"sp. nov. (VL), heterotypic syn."	Blotevogel et al. 1998	[DSMZ] synonymy: IJSEM 53:1552*	1	"CB-1, DSM 6216"	777870	777866
Methanoculleus	olentangyi		40:117*	"comb. nov. (VP), heterotypic syn."	(Corder et al. 1988) Maestrojuán et al. 1990	[DSMZ] synonymy: IJSEM 53:1552*	1	"ATCC 35293, DSM 2772, RC/ER, OCM 52"	777871	777866
Methanoculleus	palmolei		48:1111*	sp. nov. (VP)	Zellner et al. 1998		1	"DSM 4273, INSLUZ"	777872	
Methanoculleus	receptaculi		58:2471	sp. nov. (VL)	Cheng et al. 2008		1	"CGMCC 1.5087, DSM 18860, ZC-2"	787509	
Methanoculleus	sediminis		65:2141*	sp. nov. (VP)	Chen et al. 2015			"S3Fa, BCRC AR10044, DSM 29354"	792906	
Methanoculleus	submarinus		53:1701	sp. nov. (VL)	Mikucki et al. 2003		1	"DSM 15122, Nankai-1, OCM 780, SMCC 780W"	777874	
Methanoculleus	taiwanensis		65:1044*	sp. nov. (VP)	Weng et al. 2015			"CYW4, BCRC AR10043, NBRC 110782, DSM 104444"	792631	
Methanoculleus	thermophilus		55:1097*	comb. nov. (VP)	(Rivard and Smith 1982) Maestrojuán et al. 1990 emend. Spring et al. 2005	[DSMZ] nom. corrig.: IJSB 49:250*; <I>Methanoculleus thermophilicus</I> (sic)	1	"ATCC 33837, CR-1, DSM 2373, OCM 174, strain CR-1"	777875	
Methanoculleus			40:117*	gen. nov. (VP)	Maestrojuán et al. 1990				517070	
Methanofervidicoccus	abyssi		69:1225*	sp. nov. (VP)	Sakai et al. 2019			"DSM 105918, HHB, JCM 32161"	800706	
Methanofervidicoccus			69:1225*	gen. nov. (VP)	Sakai et al. 2019				521795	
Methanofollis	aquaemaris		51:1873*	sp. nov. (VP)	Lai and Chen 2001		1	"CCRC 16166, N2F9704, OCM 746, DSM 14661, BCRC 16166"	777876	
Methanofollis	ethanolicus		59:800*	sp. nov. (VP)	Imachi et al. 2009		1	"HASU, DSM 21041, JCM 15103, NBRC 104120"	787763	
Methanofollis	formosanus		55:837*	sp. nov. (VP)	Wu et al. 2005		1	"DSM 15483, ML15, OCM 789"	777877	
Methanofollis	liminatans		49:247*	comb. nov. (VP)	(Zellner et al. 1990) Zellner et al. 1999		1	"DSM 4140, GKZPZ"	777878	
Methanofollis	tationis		49:247*	comb. nov. (VP)	(Zabel et al. 1986) Zellner et al. 1999		1	"DSM 2702, OCM 159"	777879	
Methanofollis			49:247*	gen. nov. (VP)	Zellner et al. 1999				516049	
Methanogenicum	olentangyi		38:220	orthographically incorrect name	Corder et al. 1988		1	"ATCC 35293, DSM 2772, OCM 52, RC/ER"	784214	777866
Methanogenium	aggregans		35:127*	sp. nov. (VP)	Ollivier et al. 1985		1	"DSM 3027, Mst, OGC 21, MSt"	777880	777861
Methanogenium	bourgense		36:297*	sp. nov. (VP)	Ollivier et al. 1986		1	"DSM 3045, MS 2, ATCC 43281, OGC 15, strain MS2"	777881	777866
Methanogenium	cariaci		31:215	sp. nov. (VL)	Romesser et al. 1981 emend. Maestrojuán et al. 1990		1	"ATCC 35093, DSM 1497, JR 1, JCM 10550, OCM 49, strain JR1"	777882	
Methanogenium	frigidum		47:1068*	sp. nov. (VP)	Franzmann et al. 1997		1	"Ace-2, SMCC 459W, DSM 16458, OCM 469"	777883	
Methanogenium	frittonii		46:625	"sp. nov. (VL), heterotypic syn."	Harris et al. 1996	[DSMZ] <I>Methanogenium frittonii</I> is a later synonym of <I>Methanoculleus thermophilus</I>	1	"DSM 2832, FR-4, Strain FR-4"	777884	777875
Methanogenium	liminatans		40:470	sp. nov. (VL)	Zellner et al. 1990		1	"DSM 4140, GKZPZ"	777885	777878
Methanogenium	marinum		53:1701	sp. nov. (VL)	Chong et al. 2003		1	"AK-1, DSM 15558, OCM 752"	777886	
Methanogenium	marisnigri		31:215	sp. nov. (VL)	Romesser et al. 1981		1	"ATCC 35101, DSM 1498, JR 1, JR1, OCM 56"	777887	777869
Methanogenium	olentangyi		38:220	"sp. nov. (VL), heterotypic syn."	Corder et al. 1988		1	"ATCC 35293, DSM 2772, RC/ER, OCM 52"	777888	777866
Methanogenium	organophilum		39:93	sp. nov. (VL)	Widdel et al. 1989		1	"CV, DSM 3596, OCM 72"	777889	
Methanogenium	tatii		36:354	orthographically incorrect name	Zabel et al. 1986		1	"DSM 2702, OCM 159"	798641	777879
Methanogenium	tationis		36:354	sp. nov. (VL)	Zabel et al. 1986		1	"DSM 2702, OCM 159"	777891	777879
Methanogenium	thermophilicum		32:430*	sp. nov. (VP)	Rivard and Smith 1982 emend. Zabel et al. 1985		1	"ATCC 33837, CR-1, DSM 2373, OCM 174, strain CR-1"	777892	777875
Methanogenium			31:215	gen. nov. (VL)	Romesser et al. 1981 emend. Maestrojuán et al. 1990 emend. Spring et al. 2005				517071	
Methanohalobium	evestigatum		38:136	sp. nov. (VL)	Zhilina and Zavarzin 1988	[DSMZ] nom. corrig.: IJSB 48:1073*; <I>Methanohalobium evestigatus</I> (sic)	1	"DSM 3721, Z-7303, OCM 161"	777893	
Methanohalobium	evestigatus		38:136	orthographically incorrect name	Zhilina and Zavarzin 1988	[DSMZ] nom. corrig. IJSB 48:1073* // [IJSEM] Type designated by author(s).	1	"DSM 3721, OCM 161, Z-7303"	784215	777893
Methanohalobium			38:136	gen. nov. (VL)	Zhilina and Zavarzin 1988	[IJSEM] Type designated by author(s).			517072	
Methanohalophilus	halophilus		41:558*	comb. nov. (VP)	(Zhilina 1984) Wilharm et al. 1991		1	"DSM 3094, INMI Z-7982, OCM 160, Z-7982"	777896	
Methanohalophilus	levihalophilus		64:2089*	sp. nov. (VP)	Katayama et al. 2014		1	"GTA13, NBRC 110099, DSM 28452"	791867	
Methanohalophilus	mahii		38:122*	sp. nov. (VP)	Paterek and Smith 1988		1	"ATCC 35705, DSM 5219, SLP, OCM 68"	777897	
Methanohalophilus	portucalensis		43:430*	sp. nov. (VP)	Boone et al. 1993		1	"DSM 7471, FDF-1, OCM 59, 59"	777899	
Methanohalophilus	zhilinae		38:139*	sp. nov. (VP)	Mathrani et al. 1988		1	"DSM 4017, WeN5, OCM 62"	777901	777924
Methanohalophilus			38:122*	gen. nov. (VP)	Paterek and Smith 1988 emend. Katayama et al. 2014	[DSMZ] emended description: IJSEM 64:2092*			517073	
Methanolacinia	paynteri		40:470	comb. nov. (VL)	(Rivard et al. 1984) Zellner et al. 1990		1	"ATCC 33997, DSM 2545, G-2000, OCM 124"	777902	
Methanolacinia	petrolearia		65:1	comb. nov. (VL)	(Ollivier et al. 1998) Göker et al. 2015	"[DSMZ] In the IJSEM Validation List no. 161, the Type strain is mistakenly cited as SEBR 4845 (sic)"	1	"SEBR 4847, DSM 11571, OCM 486"	792474	
Methanolacinia			40:470	gen. nov. (VL)	Zellner et al. 1990 emend. Göker et al. 2014	[DSMZ] emended description: IJSEM 65:8 (List of Changes in Taxonomic Opinion no. 21)			517074	
Methanolinea	mesophila		62:1389*	sp. nov. (VP)	Sakai et al. 2012			"TNR, DSM 23604, NBRC 105659"	789915	
Methanolinea	tarda		58:294*	sp. nov. (VP)	Imachi et al. 2008		1	"NOBI-1, DSM 16494, JCM 12467, NBRC 102358"	787138	
Methanolinea			58:294*	gen. nov. (VP)	Imachi et al. 2008				516050	
Methanolobus	bombayensis		44:603*	sp. nov. (VP)	Kadam et al. 1994		1	"B-1, DSM 7082, OCM 438"	777904	
Methanolobus	chelungpuianus		65:1	sp. nov. (VL)	Wu and Lai 2015	"[IJSEM] The effective publication states that the type strain was also deposited as BCRC AR10030, but no documentation was supplied."		"St545Mb, DSM 19953, BCRC AR10030, JCM 15159, St545Mb; DSM 19953; BCRC AR10030; JCM 15159"	792097	
Methanolobus	oregonensis		52:685	comb. nov. (VL)	(Liu et al. 1990) Boone 2002		1	"DSM 5435, OGI 99, WAL1, OCM 99"	777905	
Methanolobus	profundi		59:714*	sp. nov. (VP)	Mochimaru et al. 2009		1	"MobM, DSM 21213, NBRC 104158"	787762	
Methanolobus	psychrotolerans		68:1378*	sp. nov. (VP)	Chen et al. 2018			"YSF-03, BCRC AR10049, DSM 104044, NBRC 112514"	796396	
Methanolobus	siciliae		39:495	sp. nov. (VL)	Stetter and König 1989 emend. Ni and Boone 1991		1	"DSM 3028, TA/M, OCM 156, strain T4/M"	777906	777934
Methanolobus	taylorii		44:573*	sp. nov. (VP)	Oremland and Boone 1994		1	"DSM 9005, GS-16, OCM 58"	777907	
Methanolobus	tindarius		33:438	sp. nov. (VL)	König and Stetter 1983		1	"DSM 2278, Tindari 3, ATCC 35996, OCM 150, T3"	777908	
Methanolobus	vulcani		39:495	sp. nov. (VL)	Stetter et al. 1989 emend. Kadam and Boone 1995	[DSMZ] emend. desription: IJSB 45:401*	1	"DSM 3029, PL-12/M, OCM 157, strain PL-12/M"	777909	
Methanolobus	zinderi		59:1064*	sp. nov. (VP)	Doerfert et al. 2009		1	"SD1, ATCC BAA-1601, DSM 21339"	787845	
Methanolobus			33:438	gen. nov. (VL)	König and Stetter 1983				517075	
Methanomassiliicoccus	luminyensis		62:2549*	sp. nov. (VL)	Dridi et al. 2012		1	"B10, CSUR P135, DSM 25720"	790043	
Methanomassiliicoccus			62:2549*	gen. nov. (VL)	Dridi et al. 2012				518227	
Methanomethylovorans	hollandica		54:307	sp. nov. (VL)	Lomans et al. 2004		1	"DMS1, DSM 15978, OCM 838"	777910	
Methanomethylovorans	thermophila		55:2465*	sp. nov. (VP)	Jiang et al. 2005		1	"ATCC BAA-1173, DSM 17232, L2FAW"	777911	
Methanomethylovorans	uponensis		64:693	sp. nov. (VL)	Cha et al. 2014		1	"EK1, NBRC 109636, KCTC 4119, JCM 19217, DSM 27305"	791585	
Methanomethylovorans			54:307	gen. nov. (VL)	Lomans et al. 2004	"[IJSEM] The gender of the generic name is not provided in the effective publication. However, the specific epithet hollandica is an adjective in the feminine gender and Methanomethylovorans must be in the feminine gender."			516051	
Methanomicrobium	antiquum		66:4873*	sp. nov. (VP)	Mochimaru et al. 2016			"MobH, DSM 21220, NBRC 104160"	794780	
Methanomicrobium	mobile		31:215	comb. nov. (VL)	(Paynter and Hungate 1968) Balch and Wolfe 1981		1	"BP, DSM 1539, ATCC 35094, JCM 10551"	777912	
Methanomicrobium	paynteri		34:91	sp. nov. (VL)	Rivard et al. 1984		1	"ATCC 33997, DSM 2545, G-2000, OCM 124"	777913	777902
Methanomicrobium			31:215	gen. nov. (VL)	Balch and Wolfe 1981				517076	
Methanomicrococcus			50:1989*	orthographically incorrect name	Sprenger et al. 2000				517277	517063
Methanonatronarchaeum	thermophilum		68:2199*	sp. nov. (VP)	Sorokin et al. 2018			"AMET1, DSM 28684, NBRC 110805, UNIQEM U982"	796386	
Methanonatronarchaeum			68:2199*	gen. nov. (VP)	Sorokin et al. 2018				519328	
Methanoplanus	endosymbiosus		36:573	sp. nov. (VL)	van Bruggen et al. 1986		1	"DSM 3599, MC1"	777916	
Methanoplanus	limicola		34:270	sp. nov. (VL)	Wildgruber et al. 1984 emend. Göker et al. 2014		1	"DSM 2279, ATCC 35062, M3, OCM 101"	777917	
Methanoplanus	petrolearius		48:1083	sp. nov. (VL)	Ollivier et al. 1998 emend. Göker et al. 2014	[DSMZ] emended description/synonymy: IJSEM 65:8 (List of Changes in Taxonomic Opinion 21)	1	"DSM 11571, OCM 486, SEBR 4847"	777918	792474
Methanoplanus			34:270	gen. nov. (VL)	Wildgruber et al. 1984 emend. Göker et al. 2014				517077	
Methanopyrus	kandleri		42:327	sp. nov. (VL)	Kurr et al. 1992		1	"AV19, DSM 6324, JCM 9639, NBRC 100938, Strain AV19"	777919	
Methanopyrus			42:327	gen. nov. (VL)	Kurr et al. 1992				517078	
Methanoregula	boonei		61:45*	sp. nov. (VP)	Bräuer et al. 2011		1	"6A8, DSM 21154, JCM 14090"	788993	
Methanoregula	formicica		61:53*	sp. nov. (VP)	Yashiro et al. 2011		1	"SMSP, DSM 22288, NBRC 105244"	788994	
Methanoregula			61:45*	gen. nov. (VP)	Bräuer et al. 2011				518049	
Methanosaeta			40:79*	"gen. nov. (NVP), illegitimate name, heterotypic syn."	Patel and Sprott 1990	[DSMZ] illegitimate according to IJSEM 61:2775-2780			517079	517085
Methanosalsum	natronophilum		65:3739*	sp. nov. (VP)	Sorokin et al. 2015			"AME2, DSM 24634, NBRC 110091"	793303	
Methanosalsum	zhilinae		52:685	comb. nov. (VL)	(Mathrani et al. 1988) Boone and Baker 2002		1	"DSM 4017, WeN5, OCM 62"	777924	
Methanosalsum			52:685	gen. nov. (VL)	Boone and Baker 2002				516054	
Methanosarcina	acetivorans		36:354	sp. nov. (VL)	Sowers et al. 1986		1	"ATCC 35395, C2A, DSM 2834, JCM 12185, NBRC 100939, OCM 95"	777925	
Methanosarcina	baltica		52:685	sp. nov. (VL)	von Klein et al. 2002 emend. Singh et al. 2005		1	"DSM 14042, GS1-A, JCM 11281, strain GS1-A"	777926	
Methanosarcina	barkeri		30:225	species (AL)	Schnellen 1947 emend. Bryant and Boone 1987 emend. Maestrojuán et al. 1992		1	"ATCC 43569, DSM 800, MS, NCCB 78015, VKM B-2064, JCM 10043, NBRC 100474, OCM 38, strain MS, VKM B-1635"	777927	
Methanosarcina	flavescens		66:1533*	sp. nov. (VP)	Kern et al. 2016			"E03.2, DSM 100822, JCM 30921"	793919	
Methanosarcina	frisia		39:91*	"comb. nov. (VP), heterotypic syn."	(Blotevogel et al. 1986) Blotevogel and Fischer 1989	[DSMZ] synonymy: IJSB 42:564*	1	"ATCC 43340, C16, DSM 3318"	777930	777932
Methanosarcina	horonobensis		61:2503*	sp. nov. (VP)	Shimizu et al. 2011		1	"HB-1, DSM 21571, JCM 15518, NBRC 102577"	789503	
Methanosarcina	lacustris		52:685	sp. nov. (VL)	Simankova et al. 2002		1	"DSM 13486, VKM B-2268, ZS"	777931	
Methanosarcina	mazei		34:263*	comb. nov. (VP)	(Barker 1936) Mah and Kuhn 1984		1	"DSM 2053, S-6, DSM 3318, not cultivated, OCM 26, VKM B-1636"	777932	
Methanosarcina	methanica		30:225	comb. nov. (AL)	(Smit 1930) Kluyver and van Niel 1936	"[DSMZ] rejected name (Opinion IJSB 36:492*, see also IJSB 36:357*), <i>nomen dubium et confusum</i>"	1	not cultivated	784218	
Methanosarcina	semesiae		50:171*	sp. nov. (VP)	Lyimo et al. 2000		1	"DSM 12914, MD1"	777933	
Methanosarcina	siciliae		47:1258*	comb. nov. (VP)	(Stetter and König 1989) Ni et al. 1994 emend. Elberson and Sowers 1997		1	"DSM 3028, TA/M, OCM 156, strain T4/M"	777934	
Methanosarcina	soligelidi		63:2986*	sp. nov. (VP)	Wagner et al. 2013	"[DSMZ] In the paper by Wagner et al. 2013, the type strain is cited as DSM 20065. This error has been corrected by an erratum (International Journal of Systematic and Evolutionary Microbiology (2013), 63, 3930). The correct number is DSM 26065."	1	"SMA-21, DSM 26065, JCM 18468"	791021	
Methanosarcina	spelaei		64:3478*	sp. nov. (VP)	Ganzert et al. 2014			"MC-15, DSM 26047, JCM 18469"	792237	
Methanosarcina	subterranea		65:1167*	sp. nov. (VP)	Shimizu et al. 2015			"HC-2, DSM 22503, JCM 15540, NBRC 102578"	792679	
Methanosarcina	thermophila		35:522*	sp. nov. (VP)	Zinder et al. 1985		1	"DSM 1825, TM-1, OCM 12"	777936	
Methanosarcina	vacuolata		37:281*	sp. nov. (VP)	Zhilina and Zavarzin 1987		1	"DSM 1232, Z-761, ATCC 35090, OCM 85"	777937	
Methanosarcina			30:225	genus (AL)	Kluyver and van Niel 1936 emend. Barker 1956 emend. Mah and Kuhn 1984 emend. Ni et al. 1994				517080	
Methanosphaera	cuniculi		40:470	sp. nov. (VL)	Biavati et al. 1990		1	"1R7, DSM 4103, 1R-7, OCM 183"	777938	
Methanosphaera	stadtmanae		35:535	sp. nov. (VL)	Miller and Wolin 1985		1	"DSM 3091, MCB-3, ATCC 43021, JCM 11832, OCM 149"	777939	
Methanosphaera			35:535	gen. nov. (VL)	Miller and Wolin 1985				517081	
Methanosphaerula	palustris		59:928*	sp. nov. (VP)	Cadillo-Quiroz et al. 2009		1	"E1-9c, ATCC BAA-1565, DSM 19958"	787085	
Methanosphaerula			59:928*	gen. nov. (VP)	Cadillo-Quiroz et al. 2009				517717	
Methanospirillum	hungatei		30:225	species (AL)	Ferry et al. 1974 emend. Iino et al. 2010	[DSMZ] emended description: IJSEM 60:2566*	1	"ATCC 27890, DSM 864, JCM 10133, NBRC 100397, OCM 16, strain JF-1"	777941	
Methanospirillum	hungatii		30:225	orthographically incorrect name	Ferry et al. 1974		1	"ATCC 27890, DSM 864, JCM 10133, NBRC 100397, OCM 16, strain JF-1"	777942	777941
Methanospirillum	lacunae		60:2563*	sp. nov. (VP)	Iino et al. 2010		1	"Ki8-1, DSM 22751, JCM 16384, NBRC 104920"	788879	
Methanospirillum	psychrodurum		64:638*	sp. nov. (VP)	Zhou et al. 2014		1	"X-18, CGMCC 1.5186, JCM 19216"	791508	
Methanospirillum	stamsii		64:180*	sp. nov. (VP)	Parshina et al. 2014		1	"Pt1, DSM 26304, VKM B-2808"	791454	
Methanospirillum			30:225	genus (AL)	Ferry et al. 1974 emend. Iino et al. 2010 emend. Zhou et al. 2014	[DSMZ] emended description: IJSEM 60:2565*			517082	
Methanothermobacter	crinale		62:1443	sp. nov. (VL)	Cheng et al. 2012		1	"Tm2, ACCC 00699, JCM 17393, DSM 24598"	789743	
Methanothermobacter	defluvii		52:685	comb. nov. (VL)	(Kotelnikova et al. 1994) Boone 2002		1	"ADZ, DSM 7466, VKM B-1962, ATCC 51443, OCM 570"	777943	
Methanothermobacter	marburgensis		50:43*	sp. nov. (VP)	Wasserfallen et al. 2000		1	"DSM 2133, Marburg, JCM 14651, NBRC 100331, OCM 82"	777944	
Methanothermobacter	tenebrarum		63:715*	sp. nov. (VP)	Nakamura et al. 2013		1	"RMAS, DSM 23052, JCM 16532, NBRC 106236"	790473	
Methanothermobacter	thermautotrophicus		50:43*	comb. nov. (VP)	(Zeikus and Wolfe 1972) Wasserfallen et al. 2000		1	"ATCC 29096, DSM 1053, delta H, DSM 3720, JCM 10044, NBRC 100330, OCM 143, VKM B-1908, ?H, ?H"	777945	
Methanothermobacter	thermoautotrophicus		30:225	"species (AL), homotypic syn."	Wasserfallen et al. 2000		1	"ATCC 29096, delta H, DSM 1053, DSM 3720, JCM 10044, NBRC 100330, OCM 143, VKM B-1908, ?H, ?H"	798639	777945
Methanothermobacter	thermoflexus		52:685	comb. nov. (VL)	(Kotelnikova et al. 1994) Boone 2002		1	"DSM 7268, IDZ, VKM B-1963, ATCC 51444, OCM 571"	777946	
Methanothermobacter	thermophilus		52:685	comb. nov. (VL)	(Laurinavichus et al. 1990) Boone 2002		1	"DSM 6529, M, VKM B-1786, OCM 231"	777947	
Methanothermobacter	wolfei		50:43*	comb. nov. (VP)	(Winter et al. 1985) Wasserfallen et al. 2000	[DSMZ] misspelling	1	"ATCC 43096, DSM 2970., JCM 14652, NBRC 100332, OCM 154, VKM B-1829"	784219	
Methanothermobacter			50:43*	gen. nov. (VP)	Wasserfallen et al. 2000				516055	
Methanothermococcus	okinawensis		52:1089*	sp. nov. (VP)	Takai et al. 2002		1	"DSM 14208, IH1, JCM 11175"	777949	
Methanothermococcus	thermolithotrophicus		52:685	comb. nov. (VL)	(Huber et al. 1984) Whitman 2002	"[DSMZ] complete authorship reads: (Huber, Thomm and Stetter 1984 <I>in</I> Huber, Thomm, König, Thies and Stetter 1982) Whitman 2002"	1	"DSM 2095, ATCC 35097, JCM 10549, OCM 138, SN-1"	777950	
Methanothermococcus			52:685	gen. nov. (VL)	Whitman 2002				517083	
Methanothermus	fervidus		32:266	sp. nov. (VL)	Stetter 1982	"[DSMZ] complete authorship reads: Stetter 1982 <I>in</I> Stetter, Thomm, Winter, Wildgruber, Huber, Zillig, Jane-Covic, König, Palm and Wunderl 1981"	1	"DSM 2088, ATCC 43054, JCM 10308"	777951	
Methanothermus	sociabilis		36:573	sp. nov. (VL)	Stetter 1986		1	"DSM 3496, JCM 10723, Kf1-Fl, OCM 173"	777952	
Methanothermus			32:266	gen. nov. (VL)	Stetter 1982	"[DSMZ] complete authorship reads: Stetter 1982 <I>in</I> Stetter, Thomm, Winter, Wildgruber, Huber, Zillig, Jane-Covic, König, Palm and Wunderl 1981"			517084	
Methanothrix	concilii		35:223	"sp. nov. (VL), heterotypic syn."	Patel 1985	[DSMZ] later heterotypic synonym of M. soehngenii IJSB 38:30*	1	"DSM 3671, GP6, NRC 2989, ATCC 35969, JCM 10134, OCM 69"	777953	777954
Methanothrix	soehngenii		33:438	sp. nov. (VL)	Huser et al. 1983		1	"DSM 2139, Opfikon"	777954	
Methanothrix	thermoacetophila		38:220	sp. nov. (VL)	Nozhevnikova and Chudina 1988	[DSMZ] DSM 4774 is a pure culture (H. Hippe)	1	"DSM 4774, Z-517, VKM B-1831"	777956	
Methanothrix	thermoacetophilia		38:220	orthographically incorrect name	Nozhevnikova and Chudina 1988		1	"DSM 4774, VKM B-1831, Z-517"	798642	777956
Methanothrix			33:438	gen. nov. (VL)	Huser et al. 1983				517085	
Methanotorris	formicicus		54:1095*	sp. nov. (VP)	Takai et al. 2004		1	"ATCC BAA-687, JCM 11930, Mc-S-70, DSM 16983"	777958	
Methanotorris	igneus		52:685	comb. nov. (VL)	(Burggraf et al. 1990) Whitman 2002		1	"DSM 5666, Kol5, JCM 11834, Kol 5"	777959	
